Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-02-03 00:00:00-05:00,30.925201946892873,31.125223938362588,30.386008769018623,31.03825569152832,13855300,0.15,0
2016-02-04 00:00:00-05:00,31.04695278324178,31.77746943640627,31.012165486067463,31.699199676513672,16925900,0.15,0
2016-02-05 00:00:00-05:00,31.420916078494397,31.516579511770345,30.75997053086063,31.046960830688477,17312200,0.15,0
2016-02-08 00:00:00-05:00,30.551241862968087,31.046949178906605,29.985959960758052,30.968679428100586,20118800,0.15,0
2016-02-09 00:00:00-05:00,30.551245371599517,30.968682984672277,30.107715626928975,30.507762908935547,17819800,0.15,0
2016-02-10 00:00:00-05:00,30.803447001141997,31.429605120543915,30.559942540263236,30.612123489379883,13368700,0.15,0
2016-02-11 00:00:00-05:00,30.081620441232744,30.533845255650494,29.977261889443586,30.299036026000977,18889700,0.15,0
2016-02-12 00:00:00-05:00,30.646904524530644,30.91649774611285,30.359914339299376,30.90780258178711,15837900,0.15,0
2016-02-16 00:00:00-05:00,31.099138472475275,31.2295892119425,30.803453004849665,31.046960830688477,19676300,0.15,0
2016-02-17 00:00:00-05:00,31.281771817879683,31.977501390827324,31.281771817879683,31.855749130249023,13186500,0.15,0
2016-02-18 00:00:00-05:00,31.925320428793643,32.064466343383174,31.655727085370344,31.855749130249023,12866600,0.15,0
2016-02-19 00:00:00-05:00,31.7600705001653,31.994879740750292,31.673102271708615,31.986181259155273,13203400,0.15,0
2016-02-22 00:00:00-05:00,32.27316665649414,32.60363924068234,32.09053838003416,32.27316665649414,10109900,0.15,0
2016-02-23 00:00:00-05:00,32.27317164538965,32.27317164538965,31.638318502297082,31.78615951538086,9417100,0.15,0
2016-02-24 00:00:00-05:00,31.38613042444676,31.94271408280487,31.1078385952677,31.855749130249023,10978200,0.15,0
2016-02-25 00:00:00-05:00,31.99487920566839,32.4384055521345,31.7426763236099,32.429710388183594,11566000,0.15,0
2016-02-26 00:00:00-05:00,32.551473219546615,32.74280006393873,32.03837212390389,32.142730712890625,16551100,0.15,0
2016-02-29 00:00:00-05:00,32.17750804426128,32.46449822192028,31.855733892718302,31.986181259155273,22300200,0.15,0
2016-03-01 00:00:00-05:00,32.30796224036202,33.03847885131836,32.21229883740955,33.03847885131836,13030800,0.15,0
2016-03-02 00:00:00-05:00,32.83845901489258,32.95151608419758,32.55147207588709,32.83845901489258,12791200,0.15,0
2016-03-03 00:00:00-05:00,32.70800694621668,32.96890503104508,32.5253786185867,32.95151138305664,8832200,0.15,0
